tav;x;y
25.2;616960;467346
25.8;634261;465878
23.5;627997;473954
25;605801;467364
26.2;626471;469214
23.3;609659;472639
23.1;608898;477619
21.8;579684;472513
22.4;576760;475107
23.3;625250;471939
17.8;626224;478531
24.2;641305;472509
21.2;601356;475656
25.1;607987;470844
25;614022;469084
17.1;583180;474045
25.7;611286;466531
23.6;585907;473194
24.8;648317;471991
23.7;549596;471797
25.4;633296;473882
22;647945;472294
23.7;604152;474054
25.5;610873;467999
26.8;616960;467346
26.8;634261;465878
24.5;627997;473954
25;605801;467364
26.7;626471;469214
24.5;609659;472639
23.8;608898;477619
22.8;579684;472513
22.3;576760;475107
24;625250;471939
19.7;626224;478531
25.5;641305;472509
21.1;601356;475656
26.1;607987;470844
25.6;614022;469084
18.8;583180;474045
26.5;611286;466531
23.9;585907;473194
25.7;648317;471991
21.3;549596;471797
22.8;633296;473882
19.6;647945;472294
21.7;604152;474054
24.4;610873;467999
24.9;616960;467346
24.8;634261;465878
22.5;627997;473954
23.8;605801;467364
25;626471;469214
22.2;609659;472639
22.4;608898;477619
20.7;579684;472513
21.1;576760;475107
21.6;625250;471939
16.2;626224;478531
23.4;641305;472509
20.1;601356;475656
23.8;607987;470844
24;614022;469084
16;583180;474045
25;611286;466531
22.2;585907;473194
23.8;648317;471991
17.3;549596;471797
17.8;633296;473882
13.6;647945;472294
17.7;604152;474054
20.8;610873;467999
18.9;616960;467346
18.3;634261;465878
17.2;627997;473954
19.8;605801;467364
20.4;626471;469214
16.9;609659;472639
18.3;608898;477619
16.8;579684;472513
16.3;576760;475107
16.6;625250;471939
11.8;626224;478531
18.2;641305;472509
15.6;601356;475656
18.9;607987;470844
19.7;614022;469084
10.8;583180;474045
20.4;611286;466531
18;585907;473194
18.8;648317;471991
19.6;549596;471797
20.8;633296;473882
17.2;647945;472294
20.7;604152;474054
22.1;616960;467346
21.8;634261;465878
19.7;627997;473954
21.2;605801;467364
21.8;626471;469214
20.3;609659;472639
20;608898;477619
18.6;579684;472513
18.4;576760;475107
19.2;625250;471939
18.1;626224;478531
20.9;641305;472509
17.1;601356;475656
20.8;607987;470844
21.2;614022;469084
15.4;583180;474045
21.9;611286;466531
19.4;585907;473194
21.7;648317;471991
21.7;549596;471797
24.8;633296;473882
19.9;647945;472294
23.3;604152;474054
24.8;616960;467346
24.4;634261;465878
23.7;627997;473954
23.1;605801;467364
24.9;626471;469214
23.4;609659;472639
21;608898;477619
20.4;579684;472513
19.6;576760;475107
22;625250;471939
19.2;626224;478531
25.3;641305;472509
19.4;601356;475656
23.8;607987;470844
24.4;614022;469084
17.5;583180;474045
24.5;611286;466531
21.3;585907;473194
24.2;648317;471991
23.9;549596;471797
25.7;633296;473882
21.3;647945;472294
24.5;604152;474054
26.1;616960;467346
25.7;634261;465878
25.3;627997;473954
23.4;605801;467364
25.6;626471;469214
25.4;609659;472639
23.7;608898;477619
23;579684;472513
24.3;576760;475107
24.5;625250;471939
23.4;626224;478531
26.3;641305;472509
22.1;601356;475656
25.4;607987;470844
24.9;614022;469084
20.1;583180;474045
24.6;611286;466531
24.2;585907;473194
26.3;648317;471991
23;549596;471797
27.8;633296;473882
22.2;647945;472294
23.3;604152;474054
25.8;616960;467346
26.1;634261;465878
26.5;627997;473954
23.4;605801;467364
26.7;626471;469214
26;609659;472639
21.1;608898;477619
23.2;579684;472513
25.2;576760;475107
24.7;625250;471939
23.2;626224;478531
29.2;641305;472509
19.9;601356;475656
26.3;607987;470844
26.4;614022;469084
19.2;583180;474045
25.2;611286;466531
22.1;585907;473194
27.2;648317;471991
17.2;549596;471797
18.7;633296;473882
12.8;647945;472294
18.6;604152;474054
19.1;616960;467346
18.5;634261;465878
18;627997;473954
20.7;605801;467364
21;626471;469214
